ml15,ml4973,excellent
ml20,ml1747,politics
ml20,ml1747,satire
ml20,ml2424,chick-flick-212
ml20,ml2424,hanks
ml20,ml2424,ryan
ml20,ml2947,action
ml20,ml2947,bond
ml20,ml3033,spoof
ml20,ml3033,star-wars
ml20,ml7438,bloody
ml20,ml7438,kung-fu
ml20,ml7438,tarantino
ml21,ml55247,r
ml21,ml55253,nc-17
ml25,ml50,kevin-spacey
ml25,ml6709,johnny-depp
ml31,ml65,buddy-comedy
ml31,ml546,strangely-compelling
ml31,ml1091,catastrophe
ml31,ml2116,epic
ml31,ml6373,comedy-of-manners
ml32,ml49272,product-placement
ml39,ml277,classic
ml39,ml724,goth
ml39,ml1249,woman
ml39,ml1267,classic
ml39,ml2105,computer
ml48,ml54290,why-the-terrorists-hate-us
ml48,ml54775,the-director-should-be-given-a-grammy
ml49,ml198,ralph-fiennes
ml49,ml261,winona-ryder
ml49,ml1597,julia-roberts
ml49,ml1597,mel-gibson
ml49,ml1729,quinten-tarantino
ml49,ml1747,robert-de-niro
ml49,ml2023,al-pacino
ml49,ml2424,meg-ryan
ml49,ml2424,tom-hanks
ml49,ml2947,bond-james-bond
ml49,ml3033,comedy
ml49,ml3033,john-candy
ml49,ml3033,rick-moranis
ml49,ml7438,quinten-tarantino
ml49,ml7438,uma-thurman
ml75,ml353,tissit
ml78,ml4223,want-to-own
ml109,ml36,death-penalty
ml109,ml904,hitchcock
ml109,ml1219,alfred-hitchcock
ml109,ml1258,based-on-a-book
ml109,ml1258,stephen-king
ml109,ml2011,time-travel
ml109,ml2012,time-travel
ml109,ml2028,world-war-ii
ml109,ml2117,george-orwell
ml109,ml2762,twist-ending
ml109,ml3087,christmas
ml109,ml3400,dinosaur
ml109,ml3527,arnold-schwarzenegger
ml109,ml6731,zombies
ml109,ml7360,zombies
ml109,ml7387,zombies
ml109,ml8874,zombies
ml109,ml8910,existentialism
ml109,ml27317,takashi-miike
ml109,ml32587,comic-book
ml109,ml33834,zombies
ml109,ml45081,unintentionally-funny
ml109,ml45081,video-game
ml109,ml52462,based-on-a-tv-show
ml109,ml54116,fate
ml127,ml1343,horror
ml127,ml1343,killer
ml127,ml1343,stalker
ml127,ml2080,children
ml127,ml2080,dogs
ml127,ml2080,romantic
ml127,ml2953,alone
ml127,ml2953,robbers
ml127,ml4270,egypt
ml127,ml4270,mummy
ml127,ml4447,blonde
ml127,ml4447,dog
ml127,ml4447,funny
ml127,ml5679,horror
ml127,ml5679,scary
ml127,ml6934,hacker
ml127,ml6934,matrix
ml127,ml6934,neo
ml127,ml7147,death
ml127,ml7147,dream
ml127,ml7147,fantasy
ml127,ml7147,life
ml127,ml7147,stories
ml127,ml8622,bush
ml127,ml8622,comedy
ml127,ml8622,government
ml133,ml1717,horror
ml133,ml4270,action
ml133,ml4270,adventure
ml133,ml8622,documentary
ml133,ml8622,usa
ml146,ml7,based-on-a-play
ml146,ml10,franchise
ml146,ml16,based-on-a-book
ml146,ml16,imdb-top-250
ml146,ml26,based-on-a-play
ml146,ml28,based-on-a-book
ml146,ml32,biology
ml146,ml32,genetics
ml146,ml36,based-on-a-book
ml146,ml41,based-on-a-play
ml146,ml44,martial-arts
ml146,ml47,imdb-top-250
ml146,ml50,ensemble-cast
ml146,ml62,high-school
ml146,ml66,imdb-bottom-100
ml146,ml81,colorado
ml146,ml97,imdb-top-250
ml146,ml98,directorial-debut
ml146,ml101,directorial-debut
ml146,ml101,texas
ml146,ml105,based-on-a-book
ml146,ml107,based-on-a-book
ml146,ml107,franchise
ml146,ml107,talking-animals
ml146,ml116,oscar-best-documentary-feature
ml146,ml145,directorial-debut
ml146,ml150,based-on-a-book
ml146,ml160,based-on-a-book
ml146,ml165,terrorism
ml146,ml175,directorial-debut
ml146,ml193,cult-film
ml146,ml193,strippers
ml146,ml208,big-budget
ml146,ml220,hp-lovecraft
ml146,ml225,based-on-a-book
ml146,ml235,black-and-white
ml146,ml240,based-on-a-book
ml146,ml240,dean-koontz
ml146,ml253,based-on-a-book
ml146,ml260,desert
ml146,ml260,quotable
ml146,ml261,based-on-a-book
ml146,ml273,based-on-a-book
ml146,ml288,brutal
ml146,ml288,satire
ml146,ml288,serial-killer
ml146,ml292,biology
ml146,ml296,quotable
ml146,ml298,directorial-debut
ml146,ml316,egypt
ml146,ml318,based-on-a-short-story
ml146,ml318,directorial-debut
ml146,ml319,directorial-debut
ml146,ml325,national-lampoon
ml146,ml327,desert
ml146,ml329,far-future
ml146,ml329,space
ml146,ml338,virtual-reality
ml146,ml344,directorial-debut
